Property,m0,m1,m2,Result
Property_1,-10,12,-70,0
Property_1,-10,12,-68,0
Property_1,-10,12,-66,0
Property_1,-10,12,-64,0
Property_1,-10,12,-62,0
Property_1,-10,12,-60,0
Property_1,-10,12,-58,0
Property_1,-10,12,-56,0
Property_1,-10,12,-54,0
Property_1,-10,12,-52,0
Property_1,-10,12,-50,0
Property_1,-10,12,-48,0
Property_1,-10,12,-46,0
Property_1,-10,12,-44,0
Property_1,-10,12,-42,0
Property_1,-10,12,-40,0
Property_1,-10,12,-38,0
Property_1,-10,12,-36,0
Property_1,-10,12,-34,0
Property_1,-10,12,-32,0
Property_1,-10,12,-30,0
Property_1,-10,16,-70,0
Property_1,-10,16,-68,0
Property_1,-10,16,-66,0
Property_1,-10,16,-64,0
Property_1,-10,16,-62,0
Property_1,-10,16,-60,0
Property_1,-10,16,-58,0
Property_1,-10,16,-56,0
Property_1,-10,16,-54,0
Property_1,-10,16,-52,0
Property_1,-10,16,-50,0
Property_1,-10,16,-48,0
Property_1,-10,16,-46,0
Property_1,-10,16,-44,0
Property_1,-10,16,-42,0
Property_1,-10,16,-40,0
Property_1,-10,16,-38,0
Property_1,-10,16,-36,0
Property_1,-10,16,-34,0
Property_1,-10,16,-32,0
Property_1,-10,16,-30,0
Property_1,-10,20,-70,0.00937950937951
Property_1,-10,20,-68,0.00937950937951
Property_1,-10,20,-66,0.00937950937951
Property_1,-10,20,-64,0.00937950937951
Property_1,-10,20,-62,0.00937950937951
Property_1,-10,20,-60,0.00937950937951
Property_1,-10,20,-58,0.00937950937951
Property_1,-10,20,-56,0.00937950937951
Property_1,-10,20,-54,0.00937950937951
Property_1,-10,20,-52,0.00937950937951
Property_1,-10,20,-50,0.00937950937951
Property_1,-10,20,-48,0.00937950937951
Property_1,-10,20,-46,0.00937950937951
Property_1,-10,20,-44,0.00937950937951
Property_1,-10,20,-42,0.00937950937951
Property_1,-10,20,-40,0.00937950937951
Property_1,-10,20,-38,0.00937950937951
Property_1,-10,20,-36,0.00937950937951
Property_1,-10,20,-34,0.00937950937951
Property_1,-10,20,-32,0
Property_1,-10,20,-30,0
Property_1,-10,24,-70,0.405995911447
Property_1,-10,24,-68,0.405995911447
Property_1,-10,24,-66,0.405995911447
Property_1,-10,24,-64,0.405995911447
Property_1,-10,24,-62,0.405720043524
Property_1,-10,24,-60,0.405720043524
Property_1,-10,24,-58,0.405720043524
Property_1,-10,24,-56,0.405720043524
Property_1,-10,24,-54,0.405720043524
Property_1,-10,24,-52,0.405720043524
Property_1,-10,24,-50,0.405720043524
Property_1,-10,24,-48,0.405720043524
Property_1,-10,24,-46,0.405720043524
Property_1,-10,24,-44,0.405720043524
Property_1,-10,24,-42,0.405622340301
Property_1,-10,24,-40,0.405622340301
Property_1,-10,24,-38,0.405622340301
Property_1,-10,24,-36,0.405343113676
Property_1,-10,24,-34,0.405343113676
Property_1,-10,24,-32,0
Property_1,-10,24,-30,0
Property_1,-10,28,-70,0.505803198103
Property_1,-10,28,-68,0.505803198103
Property_1,-10,28,-66,0.505803198103
Property_1,-10,28,-64,0.505803198103
Property_1,-10,28,-62,0.496050117578
Property_1,-10,28,-60,0.496050117578
Property_1,-10,28,-58,0.496050117578
Property_1,-10,28,-56,0.496050117578
Property_1,-10,28,-54,0.496050117578
Property_1,-10,28,-52,0.496050117578
Property_1,-10,28,-50,0.496050117578
Property_1,-10,28,-48,0.496050117578
Property_1,-10,28,-46,0.496050117578
Property_1,-10,28,-44,0.496050117578
Property_1,-10,28,-42,0.495899804928
Property_1,-10,28,-40,0.495899804928
Property_1,-10,28,-38,0.485798794827
Property_1,-10,28,-36,0.485798794827
Property_1,-10,28,-34,0.485798794827
Property_1,-10,28,-32,0
Property_1,-10,28,-30,0
Property_1,-10,32,-70,0.509919554241
Property_1,-10,32,-68,0.509919554241
Property_1,-10,32,-66,0.509919554241
Property_1,-10,32,-64,0.509919554241
Property_1,-10,32,-62,0.496050117578
Property_1,-10,32,-60,0.496050117578
Property_1,-10,32,-58,0.496050117578
Property_1,-10,32,-56,0.496050117578
Property_1,-10,32,-54,0.496050117578
Property_1,-10,32,-52,0.496050117578
Property_1,-10,32,-50,0.496050117578
Property_1,-10,32,-48,0.496050117578
Property_1,-10,32,-46,0.496050117578
Property_1,-10,32,-44,0.496050117578
Property_1,-10,32,-42,0.496050117578
Property_1,-10,32,-40,0.496050117578
Property_1,-10,32,-38,0.485798794827
Property_1,-10,32,-36,0.485798794827
Property_1,-10,32,-34,0.485798794827
Property_1,-10,32,-32,0
Property_1,-10,32,-30,0
Property_1,-10,36,-70,0.509919554241
Property_1,-10,36,-68,0.509919554241
Property_1,-10,36,-66,0.509919554241
Property_1,-10,36,-64,0.509919554241
Property_1,-10,36,-62,0.496050117578
Property_1,-10,36,-60,0.496050117578
Property_1,-10,36,-58,0.496050117578
Property_1,-10,36,-56,0.496050117578
Property_1,-10,36,-54,0.496050117578
Property_1,-10,36,-52,0.496050117578
Property_1,-10,36,-50,0.496050117578
Property_1,-10,36,-48,0.496050117578
Property_1,-10,36,-46,0.496050117578
Property_1,-10,36,-44,0.496050117578
Property_1,-10,36,-42,0.496050117578
Property_1,-10,36,-40,0.496050117578
Property_1,-10,36,-38,0.485798794827
Property_1,-10,36,-36,0.485798794827
Property_1,-10,36,-34,0.485798794827
Property_1,-10,36,-32,0
Property_1,-10,36,-30,0
Property_1,-8,12,-70,0
Property_1,-8,12,-68,0
Property_1,-8,12,-66,0
Property_1,-8,12,-64,0
Property_1,-8,12,-62,0
Property_1,-8,12,-60,0
Property_1,-8,12,-58,0
Property_1,-8,12,-56,0
Property_1,-8,12,-54,0
Property_1,-8,12,-52,0
Property_1,-8,12,-50,0
Property_1,-8,12,-48,0
Property_1,-8,12,-46,0
Property_1,-8,12,-44,0
Property_1,-8,12,-42,0
Property_1,-8,12,-40,0
Property_1,-8,12,-38,0
Property_1,-8,12,-36,0
Property_1,-8,12,-34,0
Property_1,-8,12,-32,0
Property_1,-8,12,-30,0
Property_1,-8,16,-70,0
Property_1,-8,16,-68,0
Property_1,-8,16,-66,0
Property_1,-8,16,-64,0
Property_1,-8,16,-62,0
Property_1,-8,16,-60,0
Property_1,-8,16,-58,0
Property_1,-8,16,-56,0
Property_1,-8,16,-54,0
Property_1,-8,16,-52,0
Property_1,-8,16,-50,0
Property_1,-8,16,-48,0
Property_1,-8,16,-46,0
Property_1,-8,16,-44,0
Property_1,-8,16,-42,0
Property_1,-8,16,-40,0
Property_1,-8,16,-38,0
Property_1,-8,16,-36,0
Property_1,-8,16,-34,0
Property_1,-8,16,-32,0
Property_1,-8,16,-30,0
Property_1,-8,20,-70,0.00937950937951
Property_1,-8,20,-68,0.00937950937951
Property_1,-8,20,-66,0.00937950937951
Property_1,-8,20,-64,0.00937950937951
Property_1,-8,20,-62,0.00937950937951
Property_1,-8,20,-60,0.00937950937951
Property_1,-8,20,-58,0.00937950937951
Property_1,-8,20,-56,0.00937950937951
Property_1,-8,20,-54,0.00937950937951
Property_1,-8,20,-52,0.00937950937951
Property_1,-8,20,-50,0.00937950937951
Property_1,-8,20,-48,0.00937950937951
Property_1,-8,20,-46,0.00937950937951
Property_1,-8,20,-44,0.00937950937951
Property_1,-8,20,-42,0.00937950937951
Property_1,-8,20,-40,0.00937950937951
Property_1,-8,20,-38,0.00937950937951
Property_1,-8,20,-36,0.00937950937951
Property_1,-8,20,-34,0.00937950937951
Property_1,-8,20,-32,0
Property_1,-8,20,-30,0
Property_1,-8,24,-70,0.405995911447
Property_1,-8,24,-68,0.405995911447
Property_1,-8,24,-66,0.405995911447
Property_1,-8,24,-64,0.405995911447
Property_1,-8,24,-62,0.405720043524
Property_1,-8,24,-60,0.405720043524
Property_1,-8,24,-58,0.405720043524
Property_1,-8,24,-56,0.405720043524
Property_1,-8,24,-54,0.405720043524
Property_1,-8,24,-52,0.405720043524
Property_1,-8,24,-50,0.405720043524
Property_1,-8,24,-48,0.405720043524
Property_1,-8,24,-46,0.405720043524
Property_1,-8,24,-44,0.405720043524
Property_1,-8,24,-42,0.405622340301
Property_1,-8,24,-40,0.405622340301
Property_1,-8,24,-38,0.405622340301
Property_1,-8,24,-36,0.405343113676
Property_1,-8,24,-34,0.405343113676
Property_1,-8,24,-32,0
Property_1,-8,24,-30,0
Property_1,-8,28,-70,0.505153759034
Property_1,-8,28,-68,0.505153759034
Property_1,-8,28,-66,0.505153759034
Property_1,-8,28,-64,0.505153759034
Property_1,-8,28,-62,0.496050117578
Property_1,-8,28,-60,0.496050117578
Property_1,-8,28,-58,0.496050117578
Property_1,-8,28,-56,0.496050117578
Property_1,-8,28,-54,0.496050117578
Property_1,-8,28,-52,0.496050117578
Property_1,-8,28,-50,0.496050117578
Property_1,-8,28,-48,0.496050117578
Property_1,-8,28,-46,0.496050117578
Property_1,-8,28,-44,0.496050117578
Property_1,-8,28,-42,0.495899804928
Property_1,-8,28,-40,0.495899804928
Property_1,-8,28,-38,0.485798794827
Property_1,-8,28,-36,0.485798794827
Property_1,-8,28,-34,0.485798794827
Property_1,-8,28,-32,0
Property_1,-8,28,-30,0
Property_1,-8,32,-70,0.505153759034
Property_1,-8,32,-68,0.505153759034
Property_1,-8,32,-66,0.505153759034
Property_1,-8,32,-64,0.505153759034
Property_1,-8,32,-62,0.496050117578
Property_1,-8,32,-60,0.496050117578
Property_1,-8,32,-58,0.496050117578
Property_1,-8,32,-56,0.496050117578
Property_1,-8,32,-54,0.496050117578
Property_1,-8,32,-52,0.496050117578
Property_1,-8,32,-50,0.496050117578
Property_1,-8,32,-48,0.496050117578
Property_1,-8,32,-46,0.496050117578
Property_1,-8,32,-44,0.496050117578
Property_1,-8,32,-42,0.496050117578
Property_1,-8,32,-40,0.496050117578
Property_1,-8,32,-38,0.485798794827
Property_1,-8,32,-36,0.485798794827
Property_1,-8,32,-34,0.485798794827
Property_1,-8,32,-32,0
Property_1,-8,32,-30,0
Property_1,-8,36,-70,0.505153759034
Property_1,-8,36,-68,0.505153759034
Property_1,-8,36,-66,0.505153759034
Property_1,-8,36,-64,0.505153759034
Property_1,-8,36,-62,0.496050117578
Property_1,-8,36,-60,0.496050117578
Property_1,-8,36,-58,0.496050117578
Property_1,-8,36,-56,0.496050117578
Property_1,-8,36,-54,0.496050117578
Property_1,-8,36,-52,0.496050117578
Property_1,-8,36,-50,0.496050117578
Property_1,-8,36,-48,0.496050117578
Property_1,-8,36,-46,0.496050117578
Property_1,-8,36,-44,0.496050117578
Property_1,-8,36,-42,0.496050117578
Property_1,-8,36,-40,0.496050117578
Property_1,-8,36,-38,0.485798794827
Property_1,-8,36,-36,0.485798794827
Property_1,-8,36,-34,0.485798794827
Property_1,-8,36,-32,0
Property_1,-8,36,-30,0
Property_1,-6,12,-70,0
Property_1,-6,12,-68,0
Property_1,-6,12,-66,0
Property_1,-6,12,-64,0
Property_1,-6,12,-62,0
Property_1,-6,12,-60,0
Property_1,-6,12,-58,0
Property_1,-6,12,-56,0
Property_1,-6,12,-54,0
Property_1,-6,12,-52,0
Property_1,-6,12,-50,0
Property_1,-6,12,-48,0
Property_1,-6,12,-46,0
Property_1,-6,12,-44,0
Property_1,-6,12,-42,0
Property_1,-6,12,-40,0
Property_1,-6,12,-38,0
Property_1,-6,12,-36,0
Property_1,-6,12,-34,0
Property_1,-6,12,-32,0
Property_1,-6,12,-30,0
Property_1,-6,16,-70,0
Property_1,-6,16,-68,0
Property_1,-6,16,-66,0
Property_1,-6,16,-64,0
Property_1,-6,16,-62,0
Property_1,-6,16,-60,0
Property_1,-6,16,-58,0
